----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
Atg13                      ATG13_DROME  Q9VHR6      FBgn0261108
atl                        ATLAS_DROME  Q9VC57      FBgn0039213
ato                        ATO_DROME    P48987      FBgn0010433
Atpalpha                   ATNA_DROME   P13607      FBgn0002921
ATPsynB                    AT5F1_DROME  Q94516      FBgn0019644
ATPsynbeta                 ATPB_DROME   Q05825      FBgn0010217
ATPsyn-beta         Dvir   ATPB_DROVI   Q24751      FBgn0013912
ATPsynCf6                  ATP5J_DROME  Q24407      FBgn0016119
ATPsynD                    ATP5H_DROME  Q24251      FBgn0016120
ATPsyngamma                ATPG_DROME   O01666      FBgn0020235
ATPsynO                    ATPO_DROME   Q24439      FBgn0016691
AttA                       ATTA_DROME   P45884      FBgn0012042
AttB                       ATTB_DROME   Q9V751      FBgn0041581
AttC                       ATTC_DROME   Q95NH6      FBgn0041579
Atu                        ATU_DROME    Q94546      FBgn0019637
Atx2                       ATX2_DROME   Q8SWR8      FBgn0041188
aub                        AUB_DROME    O76922      FBgn0000146
ave                        AVE_DROME    Q8ML92      FBgn0050476
awd                        NDKA_DROME   P08879      FBgn0000150
                    Dyak   NDKA_DROYA   Q6XI71      FBgn0067997
Awh                        AWH_DROME    Q8IRC7      FBgn0013751
Axn                        AXN_DROME    Q9V407      FBgn0026597
B52                        SRR55_DROME  P26686      FBgn0004587
bab1                       BAB1_DROME   Q9W0K7      FBgn0004870
bab2                       BAB2_DROME   Q9W0K4      FBgn0025525
baf                        BAF_DROME    Q9VLU0      FBgn0031977
bai                        TMEDA_DROME  Q8SXY6      FBgn0045866
ball                       NHK1_DROME   Q7KRY6      FBgn0027889
bam                        BAM_DROME    P22745      FBgn0000158
bap                        BAGP_DROME   P22809      FBgn0004862
Bap60                      BAP60_DROME  Q9VYG2      FBgn0025463
bark                       BARK_DROME   M9NDE3      FBgn0031571
